"NODE1","LONG1","LAT1","COUNTRY1","DETAIL","DATASTATUS","NODEID1","DATAID"
"Bochnia","20.433332","49.966667","PL","nkn","exact","1080","tmcPLm1370_001a"
"Braclaw","28.950001","48.833332","UA","nkn","exact","1081","tmcPLm1370_003a"
"Brzesc Kujawski","18.9","52.599998","PL","nkn","exact","1082","tmcPLm1370_004a"
"Bytom","18.966667","50.349998","PL","nkn","exact","1083","tmcPLm1370_006a"
"Chelm","23.5","51.133331","PL","nkn","exact","1084","tmcPLm1370_008a"
"Chelmno","18.433332","53.349998","PL","nkn","exact","1085","tmcPLm1370_010a"
"Czersk","21.233334","51.950001","PL","nkn","exact","1086","tmcPLm1370_012a"
"Dobrzyn","19.333332","52.650002","PL","nkn","exact","1087","tmcPLm1370_014a"
"Frankfurt","14.55","52.349998","DE","nkn","exact","1088","tmcPLm1370_016a"
"frk01-tmc020119","21.950001","51.316666","PL","mod Kazimierz","exact","1089","tmcPLm1370_013a"
"Gdansk","18.666668","54.349998","PL","nkn","exact","331","tmcPLm1370_010a"
"Goerlitz","15","51.166668","DE","nkn","exact","1090","tmcPLm1370_017a"
"Halicz","24.733334","49.116669","UA","nkn","exact","614","tmcPLm1370_018a"
"Jaroslaw","22.683332","50.016666","PL","nkn","exact","848","tmcPLm1370_020a"
"Kamieniec Podolski","26.566668","48.666668","UA","nkn","exact","859","tmcPLm1370_003a"
"Klodzko","16.65","50.433334","PL","nkn","exact","1028","tmcPLm1370_023a"
"Koszyce","21.25","48.716667","SK","nkn","exact","1091","tmcPLm1370_025a"
"Krakow","19.916668","50.083332","PL","nkn","exact","343","tmcPLm1370_026a"
"Leczyca","19.216667","52.066666","PL","nkn","exact","1092","tmcPLm1370_004a"
"Legnica","16.200001","51.200001","PL","nkn","exact","1093","tmcPLm1370_033a"
"Lublin","22.566668","51.25","PL","nkn","exact","858","tmcPLm1370_008a"
"Luck","25.333332","50.75","UA","nkn","exact","1094","tmcPLm1370_035a"
"Lwow","24","49.833332","UA","nkn","exact","557","tmcPLm1370_018a"
"Nowy Sacz","20.716667","49.633331","PL","nkn","exact","1095","tmcPLm1370_025a"
"Olkusz","19.566668","50.283333","PL","nkn","exact","1096","tmcPLm1370_006a"
"Opole","17.950001","50.666668","PL","nkn","exact","1097","tmcPLm1370_038a"
"Piotrkow","19.683332","51.400002","PL","nkn","exact","1098","tmcPLm1370_027a"
"Plock","19.700001","52.549999","PL","nkn","exact","1099","tmcPLm1370_039a"
"Poznan","16.966667","52.416668","PL","nkn","exact","1029","tmcPLm1370_016a"
"Praga","14.466667","50.083332","CZ","nkn","exact","353","tmcPLm1370_023a"
"Przemysl","22.783333","49.783333","PL","nkn","exact","1100","tmcPLm1370_036a"
"Radom","21.15","51.416668","PL","nkn","exact","1101","tmcPLm1370_032a"
"Sandomierz","21.75","50.683334","PL","nkn","exact","1102","tmcPLm1370_042a"
"Suczawa","26.3","47.617","RO","nkn","exact","486","tmcPLm1370_019a"
"Torun","18.6","53.033333","PL","nkn","exact","860","tmcPLm1370_015a"
"Trembowla","25.716667","49.299999","UA","nkn","exact","864","tmcPLm1370_022a"
"Warszawa","21","52.25","PL","nkn","exact","1105","tmcPLm1370_043a"
"Wieliczka","20.066668","49.983334","PL","nkn","exact","1106","tmcPLm1370_002a"
"Wislica","20.683332","50.349998","PL","nkn","exact","359","tmcPLm1370_042a"
"Wlodzimierz","24.333332","50.849998","UA","nkn","exact","705","tmcPLm1370_009a"
"Wroclaw","17.033333","51.099998","PL","nkn","exact","933","tmcPLm1370_038a"
"Zakroczym","20.633333","52.433334","PL","nkn","exact","1107","tmcPLm1370_039a "
